Key,Material,Amount
AAF:1xBMF-1xSNM=>1xNV2,BMF,1
AAF:1xBMF-1xSNM=>1xNV2,SNM,1
AAF:1xCST-10xES-3xFC-6xFLP-1xPCB-1xSAR-1xWAI=>1xCRU,CST,1
AAF:1xCST-10xES-3xFC-6xFLP-1xPCB-1xSAR-1xWAI=>1xCRU,ES,10
AAF:1xCST-10xES-3xFC-6xFLP-1xPCB-1xSAR-1xWAI=>1xCRU,FC,3
AAF:1xCST-10xES-3xFC-6xFLP-1xPCB-1xSAR-1xWAI=>1xCRU,FLP,6
AAF:1xCST-10xES-3xFC-6xFLP-1xPCB-1xSAR-1xWAI=>1xCRU,PCB,1
AAF:1xCST-10xES-3xFC-6xFLP-1xPCB-1xSAR-1xWAI=>1xCRU,SAR,1
AAF:1xCST-10xES-3xFC-6xFLP-1xPCB-1xSAR-1xWAI=>1xCRU,WAI,1
AAF:1xBMF-1xDA-1xSA=>1xTAC,BMF,1
AAF:1xBMF-1xDA-1xSA=>1xTAC,DA,1
AAF:1xBMF-1xDA-1xSA=>1xTAC,SA,1
AAF:8xFC-100xGV-1xPCB-10xSAR-20xTHF-1xWAI=>1xCC,FC,8
AAF:8xFC-100xGV-1xPCB-10xSAR-20xTHF-1xWAI=>1xCC,GV,100
AAF:8xFC-100xGV-1xPCB-10xSAR-20xTHF-1xWAI=>1xCC,PCB,1
AAF:8xFC-100xGV-1xPCB-10xSAR-20xTHF-1xWAI=>1xCC,SAR,10
AAF:8xFC-100xGV-1xPCB-10xSAR-20xTHF-1xWAI=>1xCC,THF,20
AAF:8xFC-100xGV-1xPCB-10xSAR-20xTHF-1xWAI=>1xCC,WAI,1
AAF:1xTPU-1xWAI=>1xSTS,TPU,1
AAF:1xTPU-1xWAI=>1xSTS,WAI,1
AML:4xAL-1xBOR-1xSI=>4xBOS,AL,4
AML:4xAL-1xBOR-1xSI=>4xBOS,BOR,1
AML:4xAL-1xBOR-1xSI=>4xBOS,SI,1
AML:2xBER=>1xAL-1xBE-1xSIO,BER,2
AML:2xTAI=>1xFE-1xTA,TAI,2
AML:2xZIR=>2xSIO-1xZR,ZIR,2
AML:5xBTS=>1xW,BTS,5
APF:1xAWF-1xFC-12xFLP-1xPCB-1xSEN-1xWAI=>1xWR,AWF,1
APF:1xAWF-1xFC-12xFLP-1xPCB-1xSEN-1xWAI=>1xWR,FC,1
APF:1xAWF-1xFC-12xFLP-1xPCB-1xSEN-1xWAI=>1xWR,FLP,12
APF:1xAWF-1xFC-12xFLP-1xPCB-1xSEN-1xWAI=>1xWR,PCB,1
APF:1xAWF-1xFC-12xFLP-1xPCB-1xSEN-1xWAI=>1xWR,SEN,1
APF:1xAWF-1xFC-12xFLP-1xPCB-1xSEN-1xWAI=>1xWR,WAI,1
APF:1xBMF-1xLD-1xSAL=>1xLOG,BMF,1
