Key,Material,Amount
AAF:1xBMF-1xSNM=>1xNV2,NV2,1
AAF:1xCST-10xES-3xFC-6xFLP-1xPCB-1xSAR-1xWAI=>1xCRU,CRU,1
AAF:1xBMF-1xDA-1xSA=>1xTAC,TAC,1
AAF:8xFC-100xGV-1xPCB-10xSAR-20xTHF-1xWAI=>1xCC,CC,1
AAF:1xTPU-1xWAI=>1xSTS,STS,1
AML:4xAL-1xBOR-1xSI=>4xBOS,BOS,4
AML:2xBER=>1xAL-1xBE-1xSIO,AL,1
AML:2xBER=>1xAL-1xBE-1xSIO,BE,1
AML:2xBER=>1xAL-1xBE-1xSIO,SIO,1
AML:2xTAI=>1xFE-1xTA,FE,1
AML:2xTAI=>1xFE-1xTA,TA,1
AML:2xZIR=>2xSIO-1xZR,SIO,2
AML:2xZIR=>2xSIO-1xZR,ZR,1
AML:5xBTS=>1xW,W,1
APF:1xAWF-1xFC-12xFLP-1xPCB-1xSEN-1xWAI=>1xWR,WR,1
APF:1xBMF-1xLD-1xSAL=>1xLOG,LOG,1
APF:1xAAR-1xBWS-4xRAD=>1xCOM,COM,1
APF:1xBWS-1xDA-1xOS-1xSAR=>1xRCS,RCS,1
APF:1xBWS-1xOS-8xTRA=>1xADS,ADS,1
APF:1xBWS-1xDA=>20xWS,WS,20
APF:1xBAC-1xFC-1xGV-1xH2O-1xHCP-1xNS-1xPCB-1xSAR-1xWAI=>1xAIR,AIR,1
APF:1xFC-1xSAR-10xTHF-1xWAI=>1xACS,ACS,1
APF:1xAIR-1xBMF-1xWAI-1xWR=>1xLIS,LIS,1
APF:1xSNM-1xWS=>1xNV1,NV1,1
APF:2xHPC-1xLD=>32xPDA,PDA,32
APF:1xBMF-1xDA-5xW-1xWAI=>1xFFC,FFC,1
ASM:1xAL-3xTI=>4xAST,AST,4
ASM:1xFE-3xTI=>4xFET,FET,4
ASM:3xAL-1xW=>4xWAL,WAL,4
ASM:1xO-1xSI-2xWAL=>1xCTF,CTF,1
ASM:3xAL-3xFE=>6xFAL,FAL,6
BMP:100xPE-25xPG=>20xOVE,OVE,20
BMP:1xAL-1xMFK-10xOVE=>10xEXO,EXO,10
BMP:1xAL-10xOVE-1xSWF=>10xEXO,EXO,10
BMP:1xAL-10xOVE=>10xEXO,EXO,10
BMP:1xC-2xH=>200xPE,PE,200
BMP:1xCOT-10xPG=>30xOVE,OVE,30
BMP:1xCOT-50xPG=>20xPWO,PWO,20
BMP:8xINS-1xMFK-1xSFK=>4xREP,REP,4
BMP:1xMGS=>6xMG,MG,6
BMP:50xPE-1xRCO=>20xOVE,OVE,20
BMP:30xPG-1xS-1xSI=>30xSEA,SEA,30
BMP:1xSTL-1xTRN=>7xPT,PT,7
BMP:1xSTL-1xW=>10xPT,PT,10
BMP:2xSFK-1xSTL=>6xPT,PT,6
BMP:1xSTL=>5xPT,PT,5
BMP:10xC-20xOVE=>20xSUN,SUN,20
BMP:20xEPO-20xPG=>50xOFF,OFF,50
BMP:3xCLI=>1xI,I,1
BMP:4xLST-2xSIO=>50xMCG,MCG,50
BMP:4xAL-50xPE=>2xSTR,STR,2
CHP:10xAMM-4xREA=>10xPFE,PFE,10
CHP:20xBRM-10xCLI=>16xSOI,SOI,16
CHP:1xLST=>10xFLX,FLX,10
CHP:1xLST=>1xCA,CA,1
CHP:1xCU-1xMG-1xS=>1xIND,IND,1
CHP:1xBOR-5xH-1xNA=>20xNAB,NAB,20
CHP:1xO-1xSI=>1xLCR,LCR,1
CHP:25xBRM=>10xREA,REA,10
CHP:2xCA-1xMG-1xTA=>20xSC,SC,20
CHP:2xH2O-1xLST-2xN=>4xNS,NS,4
CHP:1xH2O-3xHAL=>1xCL-2xNA,CL,1
CHP:1xH2O-3xHAL=>1xCL-2xNA,NA,2
CHP:1xAL-4xCOT-1xHER-50xPE=>16xMED,MED,16
CHP:10xREA-6xVEG=>6xOLF,OLF,6
CLF:6xGC-1xIND-1xNL=>10xHMS,HMS,10
CLF:1xBLE-10xHD-10xPCB-2xSIL=>10xLC,LC,10
CLF:1xBLE-5xNL-5xPCB-5xSEN=>20xHSS,HSS,20
CLR:10xC-2xSI=>1200xNFI,NFI,1200
CLR:1xAL-1xSI=>10xTRN,TRN,10
CLR:1xCAP-1xSWF-1xTRN=>1xTRA,TRA,1
CLR:1xC=>100xNCS,NCS,100
CLR:1xGAL-1xSI=>6xLDI,LDI,6
CLR:1xAL-1xSI=>30xSWF,SWF,30
CLR:1xFE-1xSI=>15xCAP,CAP,15
CLR:1xCBS-2xCF=>1xSFE,SFE,1
CLR:2xNCS=>2xMTC,MTC,2
CLR:2xAL-2xSI=>20xMWF,MWF,20
CLR:1xCBM-4xCF=>1xMFE,MFE,1
DRS:1xBSC-1xDCH=>1xCCD,CCD,1
DRS:1xDRF-1xMPC-1xPOW-1xSOL=>1xDCH,DCH,1
DRS:1xBSC-1xDCH-1xSAR=>1xSUD,SUD,1
DRS:1xDCH-1xSAR=>1xRED,RED,1
DRS:1xDCH-1xSAR-2xUTS=>1xSRD,SRD,1
DRS:1xBSC-1xDCH-1xSEQ=>1xSDR,SDR,1
DRS:1xDCS-50xNFI=>1xDRF,DRF,1
ECA:12xBE-60xHCC-12xLI-150xPG=>1xCBL,CBL,1
ECA:4xLI-1xNCS=>1xPOW,POW,1
ECA:4xBCO-1xBRO-2xCU-2xSI=>12xSOL,SOL,12
ECA:1xACS-8xAFR-10xCTF-4xEES-1xRCS-10xWAL=>1xFIR,FIR,1
ECA:1xACS-8xAST-4xBFR-6xCF-4xETC-1xRCS=>1xRAG,RAG,1
ECA:20xBCO-6xBE-6xLI-60xPG=>1xCBS,CBS,1
ECA:8xGL-24xSOL=>12xSP,SP,12
ECA:8xBE-40xBGC-8xLI-120xPG=>1xCBM,CBM,1
EDM:4xCU-100xPE=>8xSCN,SCN,8
EDM:1xDCS-1xHD-1xNG=>1xHOG,HOG,1
EDM:1xDCS-1xPOW-1xSFK=>1xRAD,RAD,1
EDM:1xPCB-1xTRA=>1xMHP,MHP,1
EDM:2xCD-1xKV-2xSAR=>2xBID,BID,2
EEP:1xES-4xFLX-4xREA=>1xEES,EES,1
EEP:1xLES=>10xES,ES,10
ELP:4xPCB-16xSEN=>1xSAR,SAR,1
ELP:2xBCO-1xDIS=>1xCD,CD,1
ELP:2xAU-1xKV-4xPCB-6xSWF=>3xAAR,AAR,3
ELP:10xBAC-1xMAG-10xPE=>5xAWF,AWF,5
ELP:1xDCM-1xHD-1xMB=>1xBWS,BWS,1
ELP:1xCD-1xDCS-1xMB=>1xHPC,HPC,1
ELP:1xDCL-1xFAN-1xMB-1xTPU=>1xBMF,BMF,1
ELP:1xCBL-3xCTF=>1xLFE,LFE,1
FER:1xAMM-1xCA-10xDW-1xI-4xPIB=>20xVIT,VIT,20
FER:1xAMM-20xDW-15xGRA-15xREA=>10xWIN,WIN,10
FER:1xAMM-2xDW-1xES-2xGRN=>4xGIN,GIN,4
FER:1xAMM-3xDW-2xGRN-1xHOP=>6xALE,ALE,6
FER:1xAMM-4xDW-1xHER=>6xKOM,KOM,6
FP:10xH2O-1xPG=>10xDW,DW,10
FP:10xH2O=>7xDW,DW,7
FP:1xALG-1xBEA-1xH2O=>6xPPA,PPA,6
FP:1xCAF-3xDW=>3xCOF,COF,3
FP:1xALG-1xGRN-1xNUT=>10xRAT,RAT,10
FP:1xALG-1xGRN-1xVEG=>10xRAT,RAT,10
FP:1xBEA-1xGRN-1xNUT=>10xRAT,RAT,10
FP:1xBEA-1xGRN-1xVEG=>10xRAT,RAT,10
FP:1xALG-1xMAI-1xNUT=>10xRAT,RAT,10
FP:1xALG-1xMAI-1xVEG=>10xRAT,RAT,10
FP:1xBEA-1xMAI-1xNUT=>10xRAT,RAT,10
FP:1xBEA-1xMAI-1xVEG=>10xRAT,RAT,10
FP:1xGRN-1xMUS-1xNUT=>10xRAT,RAT,10
FP:1xMAI-1xMUS-1xNUT=>10xRAT,RAT,10
FP:1xGRN-1xMUS-1xVEG=>10xRAT,RAT,10
FP:1xMAI-1xMUS-1xVEG=>10xRAT,RAT,10
FP:2xALG-1xH2O=>4xPPA,PPA,4
FP:2xBEA-1xH2O=>4xPPA,PPA,4
FP:2xFIM-1xMTP=>2xMEA,MEA,2
FP:1xHER-2xRAT=>2xFIM,FIM,2
FP:5xMAI-5xNUT-5xVEG=>16xFOD,FOD,16
FRM:1xH2O=>12xNUT,NUT,12
FRM:1xH2O=>2xBEA,BEA,2
FRM:1xH2O=>4xGRN,GRN,4
FRM:2xH2O-4xNS=>2xRCO,RCO,2
FRM:2xH2O=>1xRCO,RCO,1
FRM:2xH2O=>4xHCP,HCP,4
FRM:3xH2O=>4xVEG,VEG,4
FRM:1xDDT-4xH2O=>4xHER,HER,4
FRM:4xH2O=>12xMAI,MAI,12
FRM:4xH2O=>4xGRN,GRN,4
FRM:6xH2O=>4xBEA,BEA,4
FS:10xAL-4xSTL=>1xFLO,FLO,1
FS:1xAL-2xCU=>3xBRO,BRO,3
FS:1xBGO-300xPE=>10xBGC,BGC,10
FS:1xCU-300xPE=>10xBCO,BCO,10
FS:1xFE=>16xSFK,SFK,16
FS:300xPE-1xRGO=>10xHCC,HCC,10
FS:1xAL-1xSTL=>1xBFR,BFR,1
FS:1xSTL=>8xMFK,MFK,8
FS:1xAL-1xZR=>1xAFR,AFR,1
FS:6xFE-2xSFK=>1xUTS,UTS,1
FS:1xHOG-2xSTL-2xTI=>1xSEQ,SEQ,1
FS:4xAU-1xCU=>5xRGO,RGO,5
FS:4xAU-1xFE=>5xBGO,BGO,5
GF:10xGL-10xNCS=>10xNG,NG,10
GF:10xGL-15xPG-1xSEN=>10xRG,RG,10
GF:10xGL-15xPG=>10xRG,RG,10
GF:10xGL=>20xTUB,TUB,20
GF:16xNE-8xRG=>1xLIT,LIT,1
GF:1xGV-20xRG=>1xGCH,GCH,1
GF:1xGCH-20xRG-1xTI=>1xGNZ,GNZ,1
GF:1xFLX-1xNA-2xSIO=>12xGL,GL,12
GF:1xNA-1xSEN-2xSIO=>10xGL,GL,10
GF:1xNA-2xSIO=>10xGL,GL,10
GF:4xGNZ-4xLFP-1xMFK-50xNG-10xTHF=>1xGEN,GEN,1
HWP:12xAL-1xHE=>4xLHP,LHP,4
HWP:12xAL-1xHE-1xSTL=>4xBHP,BHP,4
HWP:12xAL-4xAST-1xHE=>4xHHP,HHP,4
HWP:12xAL-1xHE-4xTI=>4xRHP,RHP,4
HWP:2xBOS-2xCTF-1xHE=>2xATP,ATP,2
